,0,1,2
830,105,114,124
831,107,116,126
832,105,118,127
833,104,117,126
834,100,117,122
835,102,119,124
836,106,118,124
837,104,116,122
838,104,116,120
839,104,116,120
840,105,115,120
841,107,117,122
842,104,116,120
843,103,115,119
844,100,117,120
845,102,119,122
846,104,118,124
847,102,116,122
848,102,116,122
849,104,118,124
850,104,118,122
851,105,119,123
852,102,116,122
853,104,118,124
854,102,116,122
855,101,115,121
856,101,115,121
857,102,116,122
858,104,118,122
859,102,116,120
860,102,116,120
861,105,119,123
862,108,120,122
863,108,120,122
864,110,117,121
865,109,116,120
866,107,114,118
867,109,116,120
868,111,118,122
869,110,117,121
870,108,118,123
871,108,118,123
872,107,119,125
873,106,118,124
874,102,116,122
875,102,116,122
876,102,119,124
877,103,120,125
878,103,120,125
879,103,120,125
880,108,120,126
881,109,121,127
882,110,119,129
883,110,119,129
884,104,117,126
885,102,115,124
886,102,116,122
887,104,118,124
888,105,119,123
889,107,121,125
890,109,119,124
891,107,117,122
892,107,117,122
893,109,119,124
894,105,119,123
895,102,116,120
896,100,117,122
897,105,122,127
898,106,123,128
899,104,121,126
900,106,120,126
901,107,121,127
902,106,120,124
903,105,119,123
904,102,121,125
905,103,122,126
906,106,120,126
907,104,118,124
908,105,118,127
909,104,117,126
910,104,115,124
911,106,117,126
912,107,118,127
913,106,117,126
914,108,120,126
915,108,120,126
916,106,118,124
917,106,118,124
918,107,119,125
919,106,118,124
920,104,118,124
921,105,119,125
922,108,120,126
923,109,121,127
924,108,120,126
925,106,118,124
926,106,118,124
927,107,119,125
928,109,116,124
929,107,114,122
930,104,116,122
931,104,116,122
932,104,116,122
933,104,116,122
934,106,118,122
935,106,118,122
936,107,117,124
937,108,118,125
938,109,119,126
939,109,119,126
940,109,119,124
941,110,120,125
942,109,119,124
943,105,115,120
944,109,116,120
945,112,119,123
946,112,119,125
947,112,119,125
948,108,118,123
949,108,118,123
950,107,119,123
951,107,119,123
952,106,118,122
953,106,118,122
954,102,116,122
955,104,118,124
956,108,118,125
957,109,119,126
958,111,121,126
959,110,120,125
960,109,119,124
961,109,119,124
962,108,118,123
963,108,118,123
964,110,117,123
965,109,116,122
966,109,116,124
967,110,117,125
968,109,119,126
969,108,118,125
970,104,116,122
971,104,116,122
972,108,118,123
973,108,118,123
974,100,114,120
975,100,114,120
976,102,116,122
977,101,115,121
978,102,116,120
979,105,119,123
980,107,117,120
981,105,115,118
982,105,115,122
983,105,115,122
984,110,117,123
985,111,118,124
986,107,117,122
987,104,114,119
988,104,114,121
989,107,117,124
990,107,114,122
991,107,114,122
992,107,114,122
993,107,114,122
994,107,112,121
995,107,112,121
996,108,113,122
997,108,113,122
998,105,114,124
999,104,113,123
1000,105,114,124
1001,107,116,126
1002,107,117,122
1003,105,115,120
1004,105,115,120
1005,107,117,122
1006,103,115,121
1007,100,112,118
1008,99,113,119
1009,101,115,121
1010,103,115,119
1011,102,114,118
1012,102,112,115
1013,103,113,116
1014,104,111,119
1015,104,111,119
1016,104,110,121
1017,105,111,122
1018,103,113,120
1019,102,112,119
1020,102,112,117
1021,102,112,117
1022,103,110,116
1023,102,109,115
1024,100,107,113
1025,100,107,113
1026,96,108,110
1027,94,106,108
1028,96,106,109
1029,97,107,110
1030,100,102,108
1031,98,100,106
1032,92,97,102
1033,89,94,99
1034,82,94,96
1035,81,93,95
1036,75,85,88
1037,70,80,83
1038,68,75,79
1039,68,75,79
1040,63,69,69
1041,58,64,64
1042,58,54,57
1043,47,43,46
1044,28,24,29
1045,25,21,26
1046,31,35,30
1047,41,45,40
1048,44,51,43
1049,47,54,46
1050,49,55,55
1051,49,55,55
1052,49,57,56
1053,52,60,59
1054,78,86,83
1055,96,104,101
1056,98,106,105
1057,91,99,98
1058,84,90,92
1059,80,86,88
1060,71,77,79
1061,61,67,69
1062,51,57,57
1063,54,60,60
1064,59,59,61
1065,55,55,57
1066,65,71,71
1067,96,102,102
1068,118,131,126
1069,122,135,130
1070,122,136,138
1071,123,137,139
1072,123,136,145
1073,123,136,145
1074,128,137,147
1075,129,138,148
1076,128,137,147
1077,126,135,145
1078,122,135,146
1079,121,134,145
1080,119,135,145
1081,120,136,146
1082,125,138,147
1083,126,139,148
1084,125,137,143
1085,122,134,140
1086,120,133,142
1087,121,134,143
1088,122,135,144
1089,121,134,143
1090,121,134,143
1091,120,133,142
1092,125,131,142
1093,125,131,142
1094,123,133,140
1095,123,133,140
1096,118,131,130
1097,118,131,130
1098,116,124,123
1099,93,101,100
1100,46,52,63
1101,33,39,50
1102,37,36,45
1103,37,36,45
1104,36,36,38
1105,37,37,39
1106,38,38,38
1107,37,37,37
1108,30,37,31
1109,29,36,30
1110,32,36,31
1111,34,38,33
1112,41,36,34
1113,42,37,35
1114,41,36,34
1115,40,35,33
1116,37,37,33
1117,38,38,34
1118,34,38,33
1119,35,39,34
1120,37,37,33
